arrivalTime,serviceTime,waitTime,startTime,endTime
6,9,0,6,15
12,9,0,12,21
16,5,0,16,21
20,6,1,20,27
25,8,0,25,33
29,8,0,29,37
34,6,0,34,40
36,7,1,36,44
40,5,0,40,45
44,7,0,44,51
46,8,0,46,54
50,7,1,50,58
52,5,2,52,59
55,7,3,55,65
60,5,0,60,65
62,5,3,62,70
65,9,0,65,74
68,5,2,68,75
72,6,2,72,80
75,8,0,75,83
79,5,1,79,85
83,9,0,83,92
88,9,0,88,97
90,8,2,90,100
93,9,4,93,106
98,7,2,98,107
101,6,5,101,112
103,6,4,103,113
108,7,4,108,119
112,5,1,112,118
116,5,2,116,123
120,7,0,120,127
124,6,0,124,130
128,7,0,128,135
131,6,0,131,137
135,7,0,135,142
140,7,0,140,147
145,7,0,145,152
146,9,1,146,156
149,6,3,149,158
150,5,6,150,161
156,8,2,156,166
159,8,2,159,169
163,7,3,163,173
167,9,2,167,178
171,5,2,171,178
176,6,2,176,184
178,6,0,178,184
182,8,2,182,192
185,5,0,185,190
189,9,1,189,199
192,7,0,192,199
195,9,4,195,208
198,7,1,198,206
201,9,5,201,215
203,5,5,203,213
206,9,7,206,222
210,6,5,210,221
214,9,7,214,230
216,8,6,216,230
221,5,9,221,235
223,5,7,223,235
228,5,7,228,240
233,25,2,233,260
236,7,4,236,247
239,8,8,239,255
242,5,13,242,260
244,9,16,244,269
247,6,13,247,266
251,9,15,251,275
253,7,16,253,276
255,9,20,255,284
259,9,17,259,285
265,9,19,265,293
268,5,17,268,290
272,6,18,272,296
277,5,16,277,298
280,7,16,280,303
285,7,13,285,305
287,7,16,287,310
291,7,14,291,312
294,8,16,294,318
300,6,12,300,318
304,5,14,304,323
309,8,9,309,326
311,8,12,311,331
315,5,11,315,331
319,9,12,319,340
323,8,8,323,339
325,5,14,325,344
328,9,12,328,349
333,9,11,333,353
338,8,11,338,357
340,9,13,340,362
343,5,14,343,362
345,5,17,345,367
350,7,12,350,369
353,9,14,353,376
359,9,10,359,378
362,6,14,362,382
365,8,13,365,386
367,6,15,367,388
371,9,15,371,395
377,7,11,377,395
381,5,14,381,400
386,6,9,386,401
389,9,11,389,409
393,9,8,393,410
395,7,14,395,416
400,6,10,400,416
402,6,14,402,422
406,9,10,406,425
410,5,12,410,427
412,9,13,412,434
417,7,10,417,434
420,8,14,420,442
423,5,11,423,439
427,5,12,427,444
430,7,12,430,449
433,6,11,433,450
435,9,14,435,458
439,8,11,439,458
441,5,17,441,463
443,7,15,443,465
445,5,18,445,468
450,5,15,450,470
453,7,15,453,475
456,8,14,456,478
461,8,14,461,483
465,8,13,465,486
468,9,15,468,492
471,6,15,471,492
474,9,18,474,501
477,5,15,477,497
481,7,16,481,504
483,6,18,483,507
488,8,16,488,512
492,6,15,492,513
495,6,17,495,518
500,7,13,500,520
505,5,13,505,523
507,5,13,507,525
510,5,13,510,528
512,7,13,512,532
516,9,12,516,537
519,7,13,519,539
524,7,13,524,544
528,8,11,528,547
532,7,12,532,551
536,6,11,536,553
540,5,11,540,556
543,5,10,543,558
549,9,7,549,565
552,5,6,552,563
555,5,8,555,568
560,6,5,560,571
564,7,4,564,575
569,9,2,569,580
575,5,0,575,580
577,7,3,577,587
582,6,0,582,588
586,5,1,586,592
587,5,1,587,593
590,9,2,590,601
593,7,0,593,600
597,9,3,597,609
600,5,1,600,606
603,25,3,603,631
607,7,2,607,616
611,9,5,611,625
616,7,9,616,632
618,5,13,618,636
620,7,12,620,639
623,5,13,623,641
627,7,12,627,646
629,5,12,629,646
633,6,13,633,652
637,5,9,637,651
640,5,11,640,656
644,8,8,644,660
646,7,10,646,663
651,7,9,651,667
653,8,10,653,671
655,6,12,655,673
658,7,13,658,678
661,9,12,661,682
664,8,14,664,686
668,7,14,668,689
672,9,14,672,695
676,9,13,676,698
680,7,15,680,702
684,8,14,684,706
686,9,16,686,711
691,6,15,691,712
695,5,16,695,716
699,6,13,699,718
702,7,14,702,723
704,7,14,704,725
707,5,16,707,728
711,6,14,711,731
714,7,14,714,735
718,6,13,718,737
721,9,14,721,744
725,8,12,725,745
729,6,15,729,750
734,5,11,734,750
737,6,13,737,756
740,7,10,740,757
744,7,12,744,763
747,9,10,747,766
752,7,11,752,770
755,7,11,755,773
759,5,11,759,775
763,7,10,763,780
766,9,9,766,784
768,6,12,768,786
772,5,12,772,789
776,8,10,776,794
781,5,8,781,794
785,9,9,785,803
790,5,4,790,799
792,5,7,792,804
797,7,6,797,810
800,5,4,800,809
803,7,6,803,816
807,5,3,807,815
810,8,5,810,823
814,6,2,814,822
818,5,4,818,827
820,9,3,820,832
823,8,4,823,835
827,7,5,827,839
829,7,6,829,842
832,25,7,832,864
835,8,7,835,850
837,7,13,837,857
840,8,17,840,865
844,6,20,844,870
848,7,17,848,872
851,9,19,851,879
854,6,18,854,878
856,6,22,856,884
859,5,20,859,884
863,9,21,863,893
866,6,18,866,890
869,9,21,869,899
872,9,21,872,902
876,6,23,876,905
880,6,22,880,908
883,7,22,883,912
